ID,Header,Name,Equation,Charge Type,Utility Network,Service Type,Energy Source,Level,Flags,Control Number,Correlation Code,Linked Measure,State,Is Informational,Is Consumption,Is Measured,Is Summary,Active,AmountSign,Has Rules,Is Non-Elective Service Fee,History
134673,null // Sewer and/or Solid Waste Service,SEWER,|{Usage},Usage Fee,Undefined,Sewer,,ServicePoint,,PRA21072901070,100 Cubic Feet Usage,Active,No,Yes,Yes,No,Yes,,No,No,Yes,
134671,null // NET CURRENT BILLING FOR COMPLEX,WATER CHARGES,,Usage Fee,Undefined,Water,,ServicePoint,,CCX21061100017,100 Cubic Feet Usage,Active,No,Yes,Yes,No,Yes,,No,No,Yes,
134670,null // null,WATER,,Usage Fee,Undefined,Water,,ServicePoint,,HLA21061000106,100 Cubic Feet Usage,Active,No,Yes,Yes,No,Yes,,No,No,Yes,
134669,null // null,ACCOUNT BALANCE,,Total Due,,,,Account,,PSA21061009753,,Active,Yes,,,Yes,Yes,,No,No,Yes,
134668,null // null,TOTAL AMOUNT DUE BY |{Month} |{DayOfMonth} |{Year},,Total Due,,,,Account,,CCX21061100017,,Active,Yes,,,Yes,Yes,,No,No,Yes,
134667,null // Sewer and/or Solid Waste Service,Amount for Sewer/Solid Waste Service,,Subtotal,,,,Location,,PSA21081616085,,Active,Yes,,,Yes,Yes,,No,No,Yes,
134666,null // Water Service,Amount for Water Service,,Subtotal,Undefined,Water,,ServicePoint,,PRA21072901070,,Active,Yes,No,No,Yes,Yes,,No,No,Yes,
134665,null // null,LA SALES TAX,,State Tax,,,,Location,,PSA21080607946,,Active,No,,,No,Yes,,No,No,Yes,
134664,null // Water Service,LA SALES TAX,,State Tax,Undefined,Water,,ServicePoint,,PSA21073110129,,Active,No,No,No,No,Yes,,No,No,Yes,
134663,null // null,GARBAGE,,Service Fee,Undefined,Trash,,ServicePoint,,PSA21070808240,,Active,No,No,No,No,Yes,,No,No,Yes,
134662,null // Sewer and/or Solid Waste Service,GARBAGE,,Service Fee,Undefined,Trash,,ServicePoint,,PSA21073110129,,Active,No,No,No,No,Yes,,No,No,Yes,
134661,null // Water Service,LA DHH OPH SDWA FEE,,Service Fee,Undefined,Water,,ServicePoint,,PSA21081616212,,Active,No,No,No,No,Yes,,No,No,Yes,
134660,null // null,SEWER,,Service Fee,Undefined,Sewer,,ServicePoint,,HLA21061000106,,Active,No,No,No,No,Yes,,No,No,Yes,
134659,null // NET CURRENT BILLING FOR COMPLEX,SEWER / GARBAGE FEES,,Service Fee,,,,Location,,CCX21061100017,,Active,No,,,No,Yes,,No,No,Yes,
134658,null // NET CURRENT BILLING FOR COMPLEX,TAXES,,Sales Tax,,,,Location,,CCX21061100017,,Active,No,,,No,Yes,,No,No,Yes,
134657,null // Water Service,BALANCE FORWARD,,Previous Balance Amount,Undefined,Water,,ServicePoint,,PSA21081613636,,Active,No,No,No,No,Yes,,No,No,Yes,
134655,null // null,BALANCE FORWARD SWR,,Previous Balance Amount,Undefined,Sewer,,ServicePoint,,PSA21061009753,,Active,No,No,No,No,Yes,,No,No,Yes,
134654,null // null,BALANCE FORWARD WTR,,Previous Balance Amount,Undefined,Water,,ServicePoint,,PSA21061009753,,Active,No,No,No,No,Yes,,No,No,Yes,
134653,null // null,BALANCE PAST DUE,,Previous Balance Amount,,,,Account,,CCX21061100017,,Active,No,,,No,Yes,,No,No,Yes,
134652,null // null,TENANT NON PAYMENTS,,Payment Received,,,,Account,,CCX21061100017,,Active,No,,,No,Yes,,No,No,Yes,
134651,null // Water Service,CITY EXCISE TAX,,Local Tax,Undefined,Water,,ServicePoint,,PSA21080607732,,Active,No,No,No,No,Yes,,No,No,Yes,
134650,null // null,CITY EXCISE TAX,,Local Tax,,,,Location,,HLA21061000106,,Active,No,,,No,Yes,,No,No,Yes,
134649,null // BILLED FOR COMPLEX TO TENANTS,SEWER/GARBAGE FEES,,Charge Detail Information,,,,Location,,CCX21061100017,,Active,Yes,,,No,Yes,,No,No,Yes,
134648,null // BILL FOR COMPLEX,SEWER/GARBAGE FEES,,Charge Detail Information,,,,Location,,CCX21061100017,,Active,Yes,,,No,Yes,,No,No,Yes,
134647,null // BILLED FOR COMPLEX TO TENANTS,TAXES,,Charge Detail Information,,,,Location,,CCX21061100017,,Active,Yes,,,No,Yes,,No,No,Yes,
134646,null // BILL FOR COMPLEX,TAXES,,Charge Detail Information,,,,Location,,CCX21061100017,,Active,Yes,,,No,Yes,,No,No,Yes,
134645,null // BILLED FOR COMPLEX TO TENANTS,WATER CHARGES,,Charge Detail Information,Undefined,Water,,ServicePoint,,CCX21061100017,,Active,Yes,No,No,No,Yes,,No,No,Yes,
134644,null // BILL FOR COMPLEX,WATER CHARGES,,Charge Detail Information,Undefined,Water,,ServicePoint,,CCX21061100017,,Active,Yes,No,No,No,Yes,,No,No,Yes,
